ASV	phylum	class	order	family	genus	purported_species	bin
ASV762	Firmicutes	Clostridia	Christensenellales	Christensenellaceae	Christensenellaceae	NA	Christensenellaceae
ASV766	Firmicutes	Clostridia	Oscillospirales	Butyricicoccaceae	UCG-009	NA	UCG-009
ASV768	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	Pseudoflavonifractor	capillosus	Pseudoflavonifractor
ASV769	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	NA	NA	Ruminococcaceae
ASV773	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Oxalobacter	formigenes	Oxalobacter
ASV787	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	NA	NA	Ruminococcaceae
ASV788	Firmicutes	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae	Erysipelatoclostridium	NA	Erysipelatoclostridium
ASV790	Bacteroidota	Bacteroidia	Bacteroidales	Marinifilaceae	Butyricimonas	NA	Butyricimonas
ASV797	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Marvinbryantia	NA	Marvinbryantia
ASV798	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Granulicatella	NA	Granulicatella
ASV803	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	NA	NA	Lachnospiraceae
ASV805	Firmicutes	Clostridia	Oscillospirales	UCG-010	NA	NA	UCG-010
ASV807	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae	NA	Lachnospiraceae
ASV814	Firmicutes	Clostridia	Oscillospirales	Butyricicoccaceae	Butyricicoccus	NA	Butyricicoccus
ASV815	Firmicutes	Clostridia	Oscillospirales	Clostridium	NA	NA	Clostridium
ASV819	Firmicutes	Clostridia	Christensenellales	Christensenellaceae	NA	NA	Christensenellaceae
ASV827	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	NA	NA	Lachnospiraceae
ASV830	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	NA	NA	Ruminococcaceae
ASV849	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	UCG-005	NA	UCG-005
ASV850	Actinobacteriota	Coriobacteriia	Coriobacteriales	Atopobiaceae	Olsenella	NA	Olsenella
ASV861	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Anaerovoracaceae	Eubacterium	NA	Eubacterium
ASV871	Firmicutes	Clostridia	Lachnospirales	Defluviitaleaceae	Defluviitaleaceae	NA	Defluviitaleaceae
ASV875	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Holdemania	filiformis	Holdemania
ASV882	Bacteroidota	Bacteroidia	Bacteroidales	Marinifilaceae	Odoribacter	NA	Odoribacter
ASV884	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	NA	NA	Ruminococcaceae
ASV891	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Anaerovoracaceae	Family_XIII	NA	Family_XIII
ASV901	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	NA	NA	Lachnospiraceae
ASV904	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Vibrionimonas	NA	Vibrionimonas
